Player,IP,BF,ERA,FIP,WHIP,K%,BB%,GB%,FB%,SO/BB,WAR,HR9,Whiff%,Swing%,PutAway%,League
Logan Webb,207.0,856,3.22,2.6,1.237,26.2,5.4,52.8,16.9,4.87,3.9,0.6,,,,MLB
Garrett Crochet*,205.1,814,2.59,2.89,1.028,31.3,5.7,48.3,23.0,5.54,6.3,1.1,,,,MLB
Cristopher Sánchez*,202.0,807,2.5,2.55,1.064,26.3,5.5,58.2,16.9,4.82,8.0,0.5,,,,MLB
Max Fried*,195.1,801,2.86,3.07,1.101,23.6,6.4,51.9,21.2,3.71,4.5,0.6,,,,MLB
Carlos Rodón*,195.1,789,3.09,3.78,1.049,25.7,9.3,43.1,27.6,2.78,4.6,1.0,,,,MLB
Tarik Skubal*,195.1,748,2.21,2.45,0.891,32.2,4.4,40.9,27.3,7.3,6.6,0.8,,,,MLB
Kevin Gausman,193.0,775,3.59,3.42,1.062,24.4,6.5,36.5,29.8,3.78,3.8,1.0,,,,MLB
Zac Gallen,192.0,813,4.83,4.51,1.26,21.5,8.1,43.7,30.3,2.65,1.1,1.5,,,,MLB
Framber Valdez*,192.0,802,3.66,3.38,1.245,23.3,8.5,58.3,16.5,2.75,3.8,0.7,,,,MLB
Paul Skenes,187.2,733,1.97,2.36,0.948,29.5,5.7,44.3,24.9,5.14,7.6,0.5,,,,MLB
Bryan Woo,186.2,731,2.94,3.47,0.927,27.1,4.9,40.4,26.8,5.5,4.3,1.3,,,,MLB
Zack Littell,186.2,759,3.81,4.88,1.104,17.1,4.2,40.0,27.8,4.06,3.2,1.7,,,,MLB
Hunter Brown,185.1,729,2.43,3.14,1.025,28.3,7.8,47.7,23.3,3.61,6.1,0.8,,,,MLB
Merrill Kelly,184.0,748,3.52,3.76,1.114,22.3,6.4,42.9,25.8,3.48,2.9,1.1,,,,MLB
Jesús Luzardo*,183.2,758,3.92,2.9,1.22,28.5,7.5,41.7,25.3,3.79,3.9,0.8,,,,MLB
Tanner Bibee,182.1,762,4.24,4.34,1.229,21.3,7.1,44.6,26.5,3.0,1.1,1.3,,,,MLB
Robbie Ray*,182.1,755,3.65,3.93,1.212,24.6,9.7,36.0,33.1,2.55,2.8,1.1,,,,MLB
Nick Pivetta,181.2,721,2.87,3.49,0.985,26.4,6.9,33.3,33.3,3.8,5.3,1.1,,,,MLB
Luis Castillo,180.2,745,3.54,3.88,1.185,21.7,6.2,40.8,28.7,3.52,2.1,1.1,,,,MLB
Sonny Gray,180.2,753,4.28,3.39,1.234,26.7,5.0,44.7,23.2,5.29,1.4,1.2,,,,MLB
Jake Irvin,180.0,787,5.7,5.64,1.428,15.8,7.9,42.9,27.9,2.0,-0.4,1.9,,,,MLB
Matthew Boyd*,179.2,718,3.21,3.65,1.091,21.4,5.8,37.6,30.4,3.67,2.6,1.0,,,,MLB
Yusei Kikuchi*,178.1,772,3.99,4.23,1.424,22.5,9.6,39.5,27.6,2.35,3.3,1.2,,,,MLB
Freddy Peralta,176.2,723,2.7,3.65,1.075,28.2,9.1,36.8,28.9,3.09,5.5,1.1,,,,MLB
Brandon Pfaadt,176.2,767,5.25,4.22,1.33,19.2,4.8,41.9,23.9,3.97,0.6,1.3,,,,MLB
Mitch Keller,176.1,749,4.19,4.02,1.259,20.0,6.8,43.8,24.4,2.94,1.4,1.1,,,,MLB
Sandy Alcantara,174.2,745,5.36,4.28,1.271,19.1,7.7,46.5,24.1,2.49,0.0,1.1,,,,MLB
Yoshinobu Yamamoto,173.2,684,2.49,2.94,0.99,29.4,8.6,52.7,22.1,3.41,5.0,0.7,,,,MLB
Jacob deGrom,172.2,669,2.97,3.65,0.921,27.7,5.5,37.6,33.1,5.0,2.9,1.4,,,,MLB
Michael Wacha,172.2,716,3.86,3.66,1.222,17.6,6.3,35.9,27.2,2.8,2.8,0.8,,,,MLB
Dean Kremer,171.2,708,4.19,3.97,1.212,20.1,6.4,39.8,28.4,3.16,2.1,1.2,,,,MLB
Joe Ryan,171.0,689,3.42,3.74,1.035,28.2,5.7,36.5,32.2,4.97,4.5,1.4,,,,MLB
Jeffrey Springs*,171.0,713,4.11,4.65,1.211,19.4,7.6,30.9,29.5,2.56,1.9,1.5,,,,MLB
Chris Bassitt,170.1,736,3.96,4.01,1.327,22.6,7.1,45.9,21.6,3.19,2.1,1.2,,,,MLB
Brady Singer,169.2,716,4.03,3.98,1.238,22.8,8.4,39.0,28.4,2.72,3.1,1.0,,,,MLB
José Soriano,169.0,724,4.26,3.73,1.396,21.0,10.8,64.5,12.1,1.95,2.3,0.6,,,,MLB
David Peterson*,168.2,723,4.22,3.49,1.37,20.7,9.0,54.2,16.0,2.31,1.4,0.6,,,,MLB
Dylan Cease,168.0,722,4.55,3.56,1.327,29.8,9.8,36.6,30.5,3.03,1.1,1.1,,,,MLB
Ryan Pepiot,167.2,679,3.86,4.36,1.163,24.6,9.0,38.2,29.9,2.74,1.9,1.4,,,,MLB
Gavin Williams,167.2,704,3.06,4.39,1.27,24.6,11.8,45.6,26.7,2.08,3.8,1.2,,,,MLB
Brayan Bello,166.2,700,3.35,4.19,1.236,17.7,8.4,49.6,24.0,2.1,2.4,0.9,,,,MLB
Andrew Abbott*,166.1,684,2.87,3.66,1.148,21.8,6.3,31.3,32.9,3.47,5.6,1.0,,,,MLB
Shane Baz,166.1,711,4.87,4.37,1.335,24.8,9.0,46.8,22.7,2.75,0.4,1.4,,,,MLB
José Berríos,166.0,698,4.17,4.65,1.301,19.8,8.0,41.9,27.4,2.46,1.3,1.4,,,,MLB
Clay Holmes,165.2,708,3.53,4.11,1.304,18.2,9.3,55.1,18.2,1.95,2.0,0.8,,,,MLB
Nick Martinez,165.2,683,4.45,4.33,1.207,17.0,6.1,38.0,27.7,2.76,2.3,1.2,,,,MLB
Kyle Hendricks,164.2,695,4.76,4.6,1.275,16.4,6.2,38.6,28.9,2.65,1.7,1.4,,,,MLB
Mitchell Parker*,164.2,725,5.68,4.99,1.433,14.2,8.0,36.8,27.9,1.78,-1.2,1.4,,,,MLB
Kyle Freeland*,162.2,709,4.98,4.18,1.42,17.5,5.4,40.7,25.3,3.26,1.3,1.2,,,,MLB
Andre Pallante,162.2,715,5.31,4.69,1.445,15.5,8.7,58.8,18.1,1.79,-1.3,1.2,,,,MLB
Luis Severino,162.2,705,4.54,4.11,1.303,17.6,7.1,41.0,23.7,2.48,1.0,0.9,,,,MLB
Will Warren,162.1,711,4.44,4.07,1.374,24.1,9.1,41.9,25.5,2.63,0.6,1.2,,,,MLB
Jack Flaherty,161.0,681,4.64,3.85,1.28,27.6,8.7,36.1,29.1,3.19,0.9,1.3,,,,MLB
MacKenzie Gore*,159.2,680,4.17,3.74,1.353,27.2,9.4,37.6,31.5,2.89,3.0,1.1,,,,MLB
Colin Rea,159.1,662,3.95,4.12,1.249,19.2,6.6,39.0,24.3,2.89,0.6,1.1,,,,MLB
Chris Paddack,158.0,670,5.35,5.03,1.285,16.7,5.5,36.3,28.2,3.03,0.3,1.8,,,,MLB
Quinn Priester,157.1,653,3.32,4.01,1.239,20.2,7.7,55.1,19.1,2.64,3.0,1.0,,,,MLB
Ranger Suárez*,157.1,651,3.2,3.21,1.22,23.2,5.8,46.5,24.8,3.97,4.7,0.8,,,,MLB
Tomoyuki Sugano,157.0,675,4.64,5.36,1.331,15.7,5.3,40.6,28.6,2.94,1.2,1.9,,,,MLB
Logan Allen*,156.2,676,4.25,4.37,1.398,18.0,9.2,45.2,23.5,1.97,0.4,1.0,,,,MLB
Nick Lodolo*,156.2,642,3.33,3.81,1.079,24.3,4.8,42.3,27.1,5.03,4.9,1.3,,,,MLB
Bryce Elder,156.1,679,5.3,4.55,1.394,19.3,7.5,47.7,25.1,2.57,-0.4,1.4,,,,MLB
Miles Mikolas,156.1,669,4.84,5.04,1.318,14.9,5.5,40.1,30.8,2.7,0.3,1.7,,,,MLB
Patrick Corbin*,155.1,663,4.4,4.25,1.365,19.8,7.7,38.7,27.4,2.57,-0.5,1.2,,,,MLB
Eduardo Rodríguez*,154.1,694,5.02,4.57,1.542,20.6,8.6,36.8,23.9,2.38,0.2,1.5,,,,MLB
Ryne Nelson,154.0,619,3.39,3.73,1.071,21.3,6.6,39.8,28.1,3.22,3.4,1.0,,,,MLB
Justin Verlander,152.0,662,3.85,3.85,1.362,20.7,7.9,34.3,30.0,2.63,1.2,0.9,,,,MLB
Jack Leiter,151.2,646,3.86,4.15,1.279,22.9,10.4,37.6,30.0,2.21,0.4,1.1,,,,MLB
Matthew Liberatore*,151.2,648,4.21,4.03,1.305,18.8,6.2,37.6,27.4,3.05,0.9,1.1,,,,MLB
Drew Rasmussen,150.0,585,2.76,3.84,1.02,21.7,6.3,48.6,23.1,3.43,4.5,1.1,,,,MLB
Zack Wheeler,149.2,585,2.71,3.0,0.935,33.3,5.6,41.3,28.4,5.91,5.0,1.1,,,,MLB
Casey Mize,149.0,627,3.87,3.89,1.268,22.2,5.7,39.4,29.2,3.86,1.7,1.3,,,,MLB
Bailey Ober,146.1,624,5.1,4.9,1.298,19.2,5.0,29.7,34.0,3.87,1.1,1.8,,,,MLB
Shane Smith,146.1,616,3.81,4.1,1.196,23.5,9.4,40.4,27.9,2.5,2.4,1.0,,,,MLB
Seth Lugo,145.1,611,4.15,5.09,1.294,20.5,9.0,38.6,27.5,2.27,1.7,1.7,,,,MLB
Lucas Giolito,145.0,613,3.41,4.17,1.29,19.7,9.1,39.0,27.0,2.16,2.1,1.1,,,,MLB
Shota Imanaga*,144.2,567,3.73,4.86,0.988,20.6,4.6,29.1,39.7,4.5,1.5,1.9,,,,MLB
Davis Martin,142.2,601,4.1,4.64,1.29,17.3,8.0,45.9,26.7,2.17,1.5,1.3,,,,MLB
Taj Bradley,142.2,605,5.05,4.35,1.311,21.0,9.3,42.8,26.6,2.27,-0.6,1.2,,,,MLB
Charlie Morton,142.0,654,5.83,4.96,1.577,22.8,11.0,43.4,24.9,2.07,-0.8,1.5,,,,MLB
Michael Lorenzen,141.2,606,4.64,4.59,1.327,21.0,6.4,39.2,27.2,3.26,0.4,1.6,,,,MLB
Erick Fedde,141.0,623,5.49,5.2,1.518,13.3,10.8,39.6,26.6,1.24,-0.6,1.2,,,,MLB
Noah Cameron*,138.1,556,2.99,4.18,1.099,20.5,7.7,41.2,26.8,2.65,3.8,1.2,,,,MLB
Edward Cabrera,137.2,581,3.53,3.83,1.228,25.8,8.3,46.9,24.7,3.13,2.8,1.1,,,,MLB
Tyler Anderson*,136.1,599,4.56,5.6,1.408,17.4,9.5,29.2,34.9,1.82,2.0,1.8,,,,MLB
JP Sears*,135.2,583,5.04,5.21,1.319,20.1,6.2,29.2,36.6,3.25,0.8,2.0,,,,MLB
Sean Burke,134.1,596,4.29,4.92,1.452,22.3,10.6,35.4,32.1,2.11,0.9,1.5,,,,MLB
Randy Vásquez,133.2,570,3.84,4.85,1.324,13.7,9.1,39.7,27.9,1.5,2.2,1.1,,,,MLB
Dustin May,132.1,584,4.96,4.88,1.421,21.1,9.6,41.7,26.2,2.2,-0.6,1.4,,,,MLB
Slade Cecconi,132.0,545,4.3,4.64,1.189,20.0,5.9,40.9,28.2,3.41,0.8,1.6,,,,MLB
Jose Quintana*,131.2,556,3.96,4.81,1.291,16.0,9.0,42.2,27.2,1.78,1.4,1.2,,,,MLB
Logan Gilbert,131.0,535,3.44,3.35,1.031,32.3,5.8,38.9,28.4,5.58,2.1,1.4,,,,MLB
Brad Lord,130.2,546,4.34,4.23,1.293,19.8,7.9,48.2,19.9,2.51,1.5,1.2,,,,MLB
Nathan Eovaldi,130.0,496,1.73,2.8,0.854,26.0,4.2,49.7,24.9,6.14,4.2,0.7,,,,MLB
Antonio Senzatela,130.0,618,6.65,5.48,1.838,11.8,7.6,43.6,24.5,1.55,-0.5,1.5,,,,MLB
Jameson Taillon,129.2,519,3.68,4.66,1.057,18.9,5.2,33.8,32.2,3.63,1.3,1.7,,,,MLB
Germán Márquez,126.1,591,6.7,5.47,1.71,14.0,8.1,35.8,28.5,1.73,-1.2,1.6,,,,MLB
George Kirby,126.0,524,4.21,3.37,1.19,26.1,5.5,43.9,23.4,4.72,0.8,1.1,,,,MLB
Walker Buehler,126.0,565,4.93,5.66,1.516,16.3,10.8,42.0,24.0,1.51,0.0,1.6,,,,MLB
Chris Sale*,125.2,510,2.58,2.67,1.066,32.4,6.3,39.4,30.8,5.16,3.9,0.8,,,,MLB
Spencer Strider,125.1,539,4.45,4.53,1.396,24.3,9.5,36.4,31.5,2.57,1.0,1.4,,,,MLB
Bailey Falter*,125.1,518,4.45,4.94,1.285,15.6,8.9,35.1,29.0,1.76,0.8,1.4,,,,MLB
Adrian Houser,125.0,518,3.31,3.81,1.28,17.8,7.3,48.4,20.8,2.42,3.3,0.7,,,,MLB
Taijuan Walker,123.2,538,4.08,5.07,1.407,16.0,7.8,43.8,24.6,2.05,1.5,1.5,,,,MLB
Andrew Heaney*,122.1,536,5.52,5.59,1.381,16.0,7.5,36.4,27.4,2.15,-0.3,1.8,,,,MLB
Chad Patrick,119.2,503,3.53,3.53,1.279,25.2,8.0,31.0,28.9,3.18,1.9,1.0,,,,MLB
Cade Horton,118.0,476,2.67,3.59,1.085,20.4,6.9,42.5,29.2,2.94,2.0,0.8,,,,MLB
Cal Quantrill,117.2,513,6.04,5.14,1.453,16.6,6.8,33.2,30.9,2.43,-0.6,1.7,,,,MLB
Kris Bubic*,116.1,476,2.55,2.9,1.178,24.4,8.2,46.5,19.8,2.97,3.1,0.5,,,,MLB
Grant Holmes,115.0,492,3.99,4.4,1.339,25.0,11.0,44.5,27.6,2.28,1.4,1.3,,,,MLB
Kodai Senga,113.1,482,3.02,4.12,1.315,22.6,11.4,46.6,25.2,1.98,2.1,1.0,,,,MLB
Clayton Kershaw*,112.2,463,3.36,3.55,1.216,18.1,7.6,47.7,22.2,2.4,1.6,0.6,,,,MLB
Stephen Kolek,112.2,461,3.51,3.82,1.145,16.7,6.7,51.9,22.3,2.48,2.0,0.7,,,,MLB
Cade Povich*,112.1,488,5.21,4.18,1.496,24.2,8.8,41.7,26.4,2.74,-0.2,1.4,,,,MLB
Simeon Woods Richardson,111.1,471,4.04,4.52,1.275,22.7,9.8,33.0,34.9,2.33,2.2,1.4,,,,MLB
Jack Kochanowicz,111.0,512,6.81,6.05,1.748,14.1,11.3,52.3,23.5,1.24,-1.4,1.7,,,,MLB
Spencer Schwellenbach,110.2,434,3.09,3.25,0.967,24.9,4.1,47.1,19.3,6.0,2.2,1.1,,,,MLB
Janson Junk,110.0,447,4.17,3.15,1.136,17.2,2.9,40.5,24.9,5.92,1.0,0.7,,,,MLB
Trevor Rogers*,109.2,423,1.81,2.82,0.903,24.3,6.9,45.3,24.6,3.55,5.5,0.5,,,,MLB
Hunter Greene,107.2,420,2.76,3.28,0.938,31.4,6.2,33.5,31.9,5.08,4.4,1.3,,,,MLB
Landen Roupp,106.2,476,3.8,3.91,1.481,21.4,9.5,44.5,24.2,2.27,0.8,0.9,,,,MLB
Ben Brown,106.1,472,5.92,4.08,1.439,25.6,6.8,42.2,26.7,3.78,-1.6,1.5,,,,MLB
Eric Lauer*,104.2,426,3.18,3.85,1.108,23.9,6.1,28.7,34.8,3.92,2.2,1.3,,,,MLB
Jonathan Cannon,103.2,466,5.82,5.13,1.486,18.5,8.2,37.3,30.1,2.26,-0.5,1.6,,,,MLB
Aaron Civale,102.0,435,4.85,4.63,1.265,20.2,7.6,33.6,31.9,2.67,0.1,1.4,,,,MLB
Ryan Gusto,101.2,453,5.67,4.61,1.475,21.4,7.9,36.5,29.2,2.69,-0.4,1.5,,,,MLB
Mike Vasil,101.0,423,2.5,4.32,1.248,19.4,12.3,50.7,23.2,1.58,2.9,0.7,,,,MLB
Carmen Mlodzinski,99.0,419,3.55,3.33,1.303,21.2,6.4,47.2,20.1,3.3,1.4,0.7,,,,MLB
Chase Dollander,98.0,441,6.52,5.53,1.551,18.6,11.1,41.8,27.3,1.67,-0.3,1.7,,,,MLB
Joey Wentz*,98.0,442,5.6,4.06,1.561,20.8,9.7,37.3,27.5,2.14,-0.4,1.0,,,,MLB
Tyler Alexander*,97.2,423,4.98,3.64,1.403,19.4,7.1,33.1,29.2,2.73,-0.4,0.8,,,,MLB
Mike Burrows,96.0,402,3.94,4.0,1.24,24.1,7.7,40.9,25.3,3.13,1.5,1.2,,,,MLB
Michael McGreevy,95.2,400,4.42,4.28,1.254,14.5,5.0,47.3,24.1,2.9,0.7,1.1,,,,MLB
Joey Cantillo*,95.1,401,3.21,3.56,1.259,26.9,10.5,41.0,25.9,2.57,1.4,0.9,,,,MLB
Eury Pérez,95.1,385,4.25,3.67,1.049,27.3,8.3,31.4,37.1,3.28,1.2,1.1,,,,MLB
Aaron Nola,94.1,404,6.01,4.58,1.346,24.0,6.9,42.5,26.2,3.46,-0.3,1.7,,,,MLB
Jacob Lopez*,92.2,399,4.08,4.26,1.273,28.3,9.3,26.6,33.6,3.05,1.1,1.5,,,,MLB
Sean Newcomb*,92.1,391,2.73,3.04,1.354,23.3,7.9,46.0,21.7,2.94,1.6,0.5,,,,MLB
Keider Montero,90.2,389,4.37,4.93,1.39,18.5,8.0,40.5,27.1,2.32,0.7,1.6,,,,MLB
J.T. Ginn,90.1,392,5.08,4.62,1.362,25.3,7.9,52.3,20.7,3.19,0.5,1.7,,,,MLB
Tyler Glasnow,90.1,366,3.19,3.76,1.096,29.0,11.7,44.4,28.5,2.47,1.9,1.0,,,,MLB
Bryce Miller,90.1,392,5.68,5.17,1.406,18.9,8.7,38.2,25.7,2.18,-0.8,1.7,,,,MLB
Emerson Hancock,90.0,385,4.9,5.08,1.378,16.6,8.1,43.5,25.3,2.06,-0.2,1.5,,,,MLB
Michael Soroka,89.2,379,4.52,4.23,1.126,25.1,7.7,43.3,29.2,3.28,0.6,1.2,,,,MLB
Luis Ortiz,88.2,382,4.36,4.18,1.376,25.1,11.0,46.9,24.3,2.29,0.6,1.2,,,,MLB
Kyle Leahy,88.0,363,3.07,3.05,1.227,22.0,7.7,42.9,21.7,2.86,1.5,0.5,,,,MLB
Tyler Mahle,86.2,346,2.18,3.37,1.131,19.1,8.4,38.6,26.7,2.28,2.1,0.5,,,,MLB
Colton Gordon*,86.0,379,5.34,5.37,1.419,19.0,5.0,31.8,28.7,3.79,-0.4,2.2,,,,MLB
Jacob Latz*,85.2,348,2.84,3.72,1.237,21.8,10.6,37.9,26.4,2.05,1.4,0.7,,,,MLB
Max Scherzer,85.0,358,5.19,4.99,1.294,22.9,6.4,27.5,37.1,3.57,0.2,2.0,,,,MLB
Mitch Spence,84.2,375,5.1,5.1,1.441,17.6,6.9,43.2,25.2,2.54,-0.7,1.7,,,,MLB
Jimmy Herget,83.1,347,2.48,3.32,1.176,23.3,7.5,34.3,28.8,3.12,3.0,0.6,,,,MLB
Trevor Williams,82.2,373,6.21,4.13,1.536,17.4,5.6,33.0,30.5,3.1,-0.6,1.2,,,,MLB
Valente Bellozo,81.1,348,4.65,5.2,1.328,15.5,6.6,30.8,38.0,2.35,0.3,1.7,,,,MLB
Logan Evans,81.1,350,4.32,5.05,1.389,16.9,8.9,39.8,25.0,1.9,0.0,1.4,,,,MLB
Spencer Bivens,81.0,343,4.0,3.7,1.333,17.8,7.3,52.0,20.6,2.44,0.2,0.7,,,,MLB
Osvaldo Bido,79.2,363,5.87,6.07,1.607,18.7,9.6,30.3,37.4,1.94,-0.7,2.1,,,,MLB
Zebby Matthews,79.1,354,5.56,3.79,1.487,24.9,6.8,32.2,30.6,3.67,0.2,1.4,,,,MLB
Eduard Bazardo,78.2,313,2.52,3.64,1.017,26.2,8.6,38.6,30.7,3.04,1.8,1.0,,,,MLB
Tyler Holton*,78.2,312,3.66,4.64,1.042,20.5,5.4,45.9,23.8,3.76,0.8,1.7,,,,MLB
Clarke Schmidt,78.2,316,3.32,3.95,1.093,23.1,9.5,32.5,31.6,2.43,1.7,1.0,,,,MLB
Ben Casparius,77.2,333,4.64,3.57,1.275,21.3,6.3,33.2,31.5,3.38,-0.3,0.9,,,,MLB
Tyler Phillips,77.2,313,2.78,4.14,1.146,16.6,7.7,55.3,20.9,2.17,1.8,0.9,,,,MLB
Jason Alexander,77.1,336,4.77,5.1,1.371,19.3,7.7,43.8,24.8,2.5,0.6,1.7,,,,MLB
Tyler Rogers,77.1,299,1.98,2.88,0.944,16.1,2.3,60.7,12.8,6.86,2.4,0.5,,,,MLB
Carlos Vargas,77.0,331,3.97,4.59,1.351,16.3,6.9,55.9,20.2,2.35,0.0,1.2,,,,MLB
Steven Matz*,76.2,309,3.05,3.46,1.096,19.1,3.6,45.8,21.6,5.36,0.9,0.9,,,,MLB
Griffin Canning,76.1,328,3.77,4.04,1.376,21.3,10.7,50.2,22.0,2.0,1.1,0.9,,,,MLB
Jack Dreyer*,76.1,307,2.95,2.82,1.048,24.1,7.8,36.8,28.7,3.08,1.3,0.5,,,,MLB
Jose A. Ferrer*,76.1,324,4.48,3.03,1.271,21.9,4.9,59.6,13.9,4.44,0.1,0.6,,,,MLB
Ryan Bergert,76.1,323,3.66,4.0,1.258,22.6,10.8,28.5,36.9,2.09,1.4,0.9,,,,MLB
Edwin Uceta,76.0,321,3.79,3.69,1.171,32.1,8.4,31.7,34.4,3.81,0.7,1.3,,,,MLB
Pablo López,75.2,312,2.74,3.19,1.11,23.4,6.4,38.1,27.4,3.65,2.1,0.7,,,,MLB
Tanner Gordon,75.1,337,6.33,5.05,1.5,18.4,5.0,34.1,29.4,3.65,-0.1,1.9,,,,MLB
Abner Uribe,75.1,298,1.67,2.75,1.035,30.2,9.1,52.6,16.0,3.33,2.7,0.5,,,,MLB
Shawn Armstrong,74.0,284,2.31,3.07,0.811,26.1,7.0,35.9,33.7,3.7,1.5,0.6,,,,MLB
Adrián Morejón*,73.2,286,2.08,2.28,0.896,24.5,5.9,51.3,19.6,4.12,2.4,0.2,,,,MLB
Tony Santillan,73.2,301,2.44,3.72,1.113,24.9,9.6,35.6,23.0,2.59,3.0,0.9,,,,MLB
Cade Smith,73.2,300,2.93,1.96,1.005,34.7,6.3,35.8,27.2,5.47,0.9,0.5,,,,MLB
Michael King,73.1,308,3.44,4.42,1.2,24.7,8.4,38.6,30.2,2.92,1.2,1.5,,,,MLB
Jackson Rutledge,73.1,330,5.77,5.47,1.514,19.7,7.3,40.6,28.2,2.71,-0.5,2.0,,,,MLB
Emmet Sheehan,73.1,291,2.82,2.93,0.968,30.6,7.6,33.7,30.3,4.05,1.0,0.9,,,,MLB
Jeremiah Estrada,73.0,304,3.45,3.55,1.164,35.5,8.9,34.3,30.1,4.0,1.2,1.5,,,,MLB
Ronny Henriquez,73.0,303,2.22,3.15,1.096,32.3,8.9,39.7,33.9,3.63,2.3,1.0,,,,MLB
Yariel Rodríguez,73.0,298,3.08,4.4,1.151,22.1,11.4,39.1,25.0,1.94,1.4,1.0,,,,MLB
Cam Schlittler,73.0,304,2.96,3.74,1.219,27.6,10.2,36.4,26.6,2.71,2.0,1.0,,,,MLB
Louis Varland,72.2,296,2.97,3.14,1.197,25.3,7.4,51.8,16.8,3.41,1.7,0.7,,,,MLB
Tyler Kinley,72.2,308,3.96,3.69,1.183,23.7,10.7,32.7,30.7,2.21,1.4,0.7,,,,MLB
Yu Darvish,72.0,296,5.38,4.82,1.181,23.0,6.4,39.4,28.6,3.58,0.0,1.8,,,,MLB
Cole Sands,72.0,299,4.5,3.58,1.167,21.4,6.4,42.0,25.9,3.37,0.4,0.9,,,,MLB
Garrett Whitlock,72.0,293,2.25,2.18,1.083,31.1,8.2,45.7,23.7,3.79,2.4,0.3,,,,MLB
Steven Okert*,71.2,276,3.01,2.76,0.893,30.4,6.9,23.4,36.8,4.42,1.5,0.8,,,,MLB
Wandy Peralta*,71.2,313,3.14,3.62,1.34,20.1,9.6,58.7,17.9,2.1,1.1,0.6,,,,MLB
Zach Eflin,71.1,309,5.93,5.65,1.416,16.2,4.2,40.2,29.5,3.85,-0.4,2.3,,,,MLB
Bryan Abreu,71.0,296,2.28,2.39,1.155,35.5,10.5,35.3,24.4,3.39,2.6,0.5,,,,MLB
Lake Bachar,71.0,296,3.93,4.25,1.197,25.3,10.1,34.0,28.7,2.5,0.7,1.3,,,,MLB
Hoby Milner*,70.1,293,3.84,3.39,1.265,19.8,7.2,51.4,24.1,2.76,-0.6,0.6,,,,MLB
Dennis Santana,70.1,270,2.18,3.21,0.867,22.2,6.3,38.9,34.2,3.53,2.7,0.6,,,,MLB
Jhoan Duran,70.0,287,2.06,2.35,1.1,27.9,6.6,64.3,15.1,4.21,3.2,0.4,,,,MLB
Grant Anderson,69.2,299,3.23,3.84,1.263,24.7,9.7,40.2,25.8,2.55,0.3,1.0,,,,MLB
Braxton Ashcraft,69.2,292,2.71,2.78,1.249,24.3,8.2,49.7,22.1,2.96,2.0,0.4,,,,MLB
Brandon Eisert*,69.2,306,4.39,4.54,1.435,24.2,8.2,39.6,30.7,2.96,0.4,1.6,,,,MLB
Brad Keller,69.2,276,2.07,2.94,0.962,27.2,8.0,55.5,17.3,3.41,1.5,0.5,,,,MLB
Robert Suarez,69.2,269,2.97,2.88,0.904,27.9,5.9,35.8,26.7,4.69,2.3,0.8,,,,MLB
Reese Olson,68.2,285,3.15,3.5,1.209,22.8,8.8,42.6,28.4,2.6,1.7,0.7,,,,MLB
Emilio Pagán,68.2,270,2.88,3.72,0.917,30.0,8.1,28.5,38.8,3.68,2.0,1.3,,,,MLB
Will Vest,68.2,284,3.01,2.71,1.209,26.4,7.7,57.5,18.3,3.41,1.7,0.5,,,,MLB
Bryan Baker,68.2,274,4.06,3.92,1.107,30.3,6.2,37.4,28.2,4.88,0.4,1.7,,,,MLB
Scott Barlow,68.1,303,4.21,4.7,1.39,24.8,14.9,43.5,25.4,1.67,0.7,1.1,,,,MLB
Dylan Lee*,68.1,266,3.29,4.0,0.98,28.6,5.3,35.8,33.0,5.43,1.0,1.7,,,,MLB
Brendon Little*,68.1,295,3.03,2.92,1.361,30.8,15.3,59.2,14.0,2.02,1.1,0.3,,,,MLB
Tylor Megill,68.1,305,3.95,3.43,1.361,29.2,10.8,40.3,23.9,2.7,0.3,0.8,,,,MLB
Jeff Hoffman,68.0,287,4.37,4.9,1.191,29.3,9.4,39.5,26.7,3.11,0.5,2.0,,,,MLB
Bryan King*,68.0,275,2.78,3.68,1.044,25.1,4.0,40.8,24.6,6.27,1.7,1.3,,,,MLB
Daniel Lynch IV*,67.2,289,3.06,4.76,1.36,15.6,9.0,47.6,25.0,1.73,1.3,1.1,,,,MLB
Brent Suter*,67.2,291,4.52,4.57,1.286,18.2,6.2,43.6,28.9,2.94,0.3,1.5,,,,MLB
Tanner Banks*,67.1,267,3.07,3.64,1.01,22.8,4.5,36.3,26.9,5.08,1.7,1.2,,,,MLB
Raisel Iglesias,67.1,266,3.21,3.31,0.995,27.4,6.0,32.0,33.1,4.56,1.3,1.1,,,,MLB
