Player,IP,BF,ERA,FIP,WHIP,K%,BB%,GB%,FB%,SO/BB,WAR,HR9,Whiff%,Swing%,PutAway%,League
Luis Gil,57.0,244,3.32,4.63,1.404,16.8,13.5,32.0,29.6,1.24,1.0,0.8,,,,MLB
Tanner Scott*,57.0,238,4.74,4.7,1.263,25.2,7.6,37.8,26.3,3.33,-0.6,1.7,,,,MLB
Ian Seymour*,57.0,242,3.63,3.19,1.175,26.4,7.9,34.0,26.3,3.37,-0.1,0.8,,,,MLB
Ryan Zeferjahn,57.0,257,4.74,5.36,1.474,28.4,13.6,34.5,35.2,2.09,0.6,1.9,,,,MLB
Kyle Finnegan,57.0,229,3.47,3.12,1.105,24.0,7.9,48.1,22.7,3.06,1.0,0.6,,,,MLB
Tristan Beck,56.2,232,4.61,4.25,1.112,17.7,6.9,41.6,25.4,2.56,0.1,1.1,,,,MLB
Nick Mears,56.2,221,3.49,3.86,0.971,20.8,5.9,33.5,34.8,3.54,0.5,1.1,,,,MLB
Hurston Waldrep,56.1,229,2.88,3.21,1.189,24.0,9.6,49.0,21.5,2.5,1.4,0.5,,,,MLB
Martín Pérez*,56.0,228,3.54,4.24,1.107,19.3,9.6,38.8,31.9,2.0,1.3,1.0,,,,MLB
Ryne Stanek,56.0,255,5.3,4.4,1.571,22.7,12.5,32.7,33.3,1.81,-1.0,1.1,,,,MLB
Ryan Helsley,56.0,252,4.5,4.14,1.536,25.0,9.9,44.2,23.9,2.52,0.1,1.3,,,,MLB
Taylor Clarke,55.1,206,3.25,3.97,0.849,21.4,4.4,44.1,25.0,4.89,1.0,1.3,,,,MLB
Reed Garrett,55.1,238,3.9,3.46,1.319,26.9,10.9,41.5,24.5,2.46,0.4,0.8,,,,MLB
Lance McCullers Jr.,55.1,274,6.51,5.77,1.807,22.3,14.2,47.6,25.9,1.56,-1.1,1.6,,,,MLB
Steven Wilson,55.1,241,3.42,4.29,1.301,21.2,9.1,26.1,36.4,2.32,1.2,1.1,,,,MLB
Jake Bird,55.1,248,5.53,3.91,1.536,26.6,10.1,46.1,24.0,2.64,0.0,1.1,,,,MLB
Luis García,55.1,233,3.42,3.28,1.464,20.6,11.2,48.4,18.2,1.85,0.8,0.3,,,,MLB
José Ureña,55.0,245,4.58,5.21,1.455,13.9,9.4,35.7,25.4,1.48,0.4,1.3,,,,MLB
Jorge Alcala,55.0,257,6.22,5.68,1.745,23.7,11.7,32.7,32.1,2.03,-1.1,2.1,,,,MLB
